title,status,genres,favorites,popularity,rank,score,authors
Let Me Stay Over Tonight!,Finished,Romance,0,#27024,#14597,6.53,"Haebeon (Story), Yunana (Art)"
Shadow Bride,Finished,Romance,0,#22726,#14598,6.53,"Lee, Saein (Story), Dubmer (Art)"
The Villainess's Daughter,Publishing,"Fantasy, Romance",2,#12139,#14599,6.53,"Suncy (Story), Kim, Jiho (Art)"
XO Sisters,Finished,"Action, Comedy, Fantasy, Romance, Supernatural",14,#3559,#14713,6.52,"Park, Seong-Su (Story), Hwang, Seong-Won (Art)"
Heavenly Martial God,Publishing,"Action, Fantasy",0,#12034,#14733,6.52,"Damho (Story), Gong, Jongcheol (Art)"
Satan's Bride,Finished,"Fantasy, Romance",1,#22293,#14734,6.52,"Lee, Donghee (Story), Fuyusora (Art), Te-ore (Art), Itbaem (Art), Lee, Samsam (Art)"
There's No Use Hanging On,Publishing,"Drama, Fantasy, Romance",1,#18527,#14735,6.52,"Maru Gongbang (Art), Candysoda (Story)"
The Detective of Muiella,Finished,"Mystery, Romance",2,#16437,#14736,6.52,"Kiarne (Story), Sol (Art)"
Slave B,Finished,"Action, Adventure, Drama, Fantasy",7,#12343,#14739,6.52,"Iminsu (Story), Parkgee (Art)"
The Rebirth of a Tyrannical Empress,Finished,"Drama, Fantasy",3,#8997,#14741,6.51,"Miraenavi (Story), Sanyang (Art)"
The Tyrant's Guardian Is an Evil Witch,Publishing,Fantasy,2,#11104,#14742,6.51,"Bluelagoon (Story), Rata (Art)"
My Sister Picked Up the Male Lead,Publishing,"Fantasy, Romance",0,#12327,#14743,6.51,"Moon, Sihyun (Story), Dyubu (Art)"
I'm Destined to Greatness,Publishing,"Action, Fantasy",1,#15830,#14744,6.51,"Geulsseuneun Gigye (Story), Seo, Yunkyo (Art)"
Cierra,Finished,"Drama, Fantasy, Romance",1,#17328,#14745,6.51,"Rana (Story), Moona (Art)"
The Return of Elena the Knight,Finished,"Drama, Fantasy",2,#15732,#14746,6.51,"Lee, Harin (Story), Haneulmireu (Art)"
Duchess in the Glass House,Publishing,"Fantasy, Romance",1,#14866,#14747,6.51,"Kim, Suo (Art), Tak Lee (Story)"
Until You Fall Asleep,Finished,Drama,1,#27075,#14827,6.51,"Yoon, Lee Hyun (Story & Art)"
